,대표코드,품명,품번,경면(전면),임가공처
232,A3-248,Canyon Amundsen Oak,14-10428-001,UK,목림
233,A3-249,Biscaya Oak,14-10434-001,UK,목림
234,B45-195,Biscaya Oak,14-10434-001,L,건창기업
235,A25-278,Biscaya Oak,14-10434-001,J,건창기업(유사 TK)
236,A3-305,Cornwall Oak,14-10440-003,UK,목림
237,A3-384,Canyon Waterford ,14-10455-002,UK,목림
238,B3-54,Svendborg Eiche,14-10473-999,UK,목림
239,A14-126,Genuine Oak,14-10675-002,WT,목림
240,B3-97,Garden Oak,14-10735-001,UK,목림
241,HF2-25,Garden Oak,14-10735-001,NM,메라톤
242,HF2-26,Garden Oak,14-10735-003,NM,메라톤
243,B3-98,Garden Oak,14-10735-003,UK,목림
244,B3-149,Flagstaff Oak,14-10778-003,UK,목림
245,B3-96,Flagstaff Oak,14-10778-006,UK,목림
246,C45-131,Life Oak II,14-10946-101,L,
247,A3-929,Life Oak,14-10946-104,UK,목림
248,A3-857,Life Oak,14-10946-106,UK,목림
249,B3-670,Life Oak II,14-10946-109,UK,
250,B25-886,Life Oak II,14-10946-109,J,
251,A25-835,Life Oak,14-10946-116,J,건창기업(유사 TK)
252,HF2-3,Life Oak,14-10946-116,NM,메라톤
253,B45-41,Life Oak II,14-10946-116,L,건창기업
254,B59-554,Life Oak II,14-10946-117,LV,건창기업
255,A25-836,Life Oak,14-10946-117,J,건창기업(유사 TK)
256,HF4-20,Life Oak,14-10946-117,BF,
257,B45-42,Life Oak II,14-10946-117,L,건창기업
258,A39-818,Life Oak II,14-10946-117,TK,목림(유사 J)
259,B3-744,Life Oak II,14-10946-117,UK,
260,HF2-4,Life Oak,14-10946-117,NM,메라톤
261,HF2-7,Life Oak,14-10946-118,NM,메라톤
262,B25-887,Life Oak II,14-10946-118,J,
263,B45-188,Life Oak II,14-10946-118,L,건창기업
264,HF2-20,Life Oak II,14-10946-118(중복),NM,메라톤
265,B25-888,Life Oak II,14-10946-119,J,
266,B3-381,Life Oak II,14-10946-119,UK,
267,B45-189,Life Oak II,14-10946-119,L,건창기업
268,B3-433,Life Oak II,14-10946-120,UK,
269,B45-190,Life Oak II,14-10946-120,L,건창기업
270,B25-889,Life Oak II,14-10946-120,J,
271,HF2-14,Life Oak,14-10946-120,NM,메라톤
272,B25-890,Life Oak II,14-10946-122,J,
273,B59-561,Life Oak Ⅱ,14-10946-122,LV,건창기업
274,B25-891,Life Oak II,14-10946-123,J,
275,B45-468,Life Oak II,14-10946-123,L,
276,HF2-21,Life Oak II,14-10946-123,NM,메라톤
277,B25-892,Life Oak II,14-10946-124,J,
278,HF2-15,Life Oak,14-10946-124,NM,메라톤
279,HF4-21,Life Oak,14-10946-124,BF,
280,B45-576,Life Oak,14-10946-125,L,
281,B25-893,Life Oak II,14-10946-125,J,
282,B3-301,Life Oak ll,14-10946-125,UK,
283,B59-562,Life Oak Ⅱ,14-10946-125,LV,건창기업
284,B25-894,Life Oak II,14-10946-126,J,
285,B45-577,Life Oak,14-10946-126,L,
286,B3-293,Life Oak ll,14-10946-126,UK,목림
287,B3-538,Life Oak II,14-10946-127,UK,
288,B25-895,Life Oak II,14-10946-127,J,
289,B45-842,Life Oak,14-10946-130,L,
290,HF2-46,Life Oak,14-10946-조색8,NM,
291,A3-860,Coimbra Esche,14-11028-001,UK,목림
292,A24-854,Coimbra Esche,14-11028-001,QT,"목림,승은산업, 제이제이데코"
293,A3-514,Coimbra,14-11028-129,UK,목림
294,A39-582,Aveiro Ash,14-11033-129,TK,목림(유사 J)
295,B45-453,Aveiro Ash,14-11033-129,L,건창기업
296,A3-180,Aveiro Ash,14-11033-129,UK,목림
297,B45-444,Frassino Ryoba,14-11037-004,L,건창기업
298,A24-172,Frassino Ryoba,14-11037-004,QT,"목림,승은산업, 제이제이데코"
299,B3-297,Frassino Ryoba,14-11037-조색9,UK,목림
300,A3-606,Alcantara Oak,14-11043-001,UK,목림
301,A24-852,Palm Beach Ash,14-11049-002,QT,"목림,승은산업, 제이제이데코"
302,A3-447,Palm Beach Ash,14-11049-002,UK,목림
303,B45-452,Palm Beach Ash,14-11049-002,L,건창기업
304,A24-263,Palm Beach Ash,14-11049-106,QT,"목림,승은산업, 제이제이데코"
305,A3-181,Palm Beach Ash,14-11049-106,UK,목림
306,B38-164,Palm Beach Ash,14-11049-106,PNS,목림(피앤데코 경면) / 엇결
307,B45-451,Palm Beach Ash,14-11049-106,L,건창기업
308,A25-213,Palm Beach Ash,14-11049-106,J,건창기업(유사 TK)
309,B7-448,Palm Beach Ash,14-11049-106,민자,
310,B3-896,Palm Beach Ash,14-11049-109,UK,
311,B45-514,Palm Beach Ash,14-11049-109,L,
312,B45-262,Palm Beach Ash,14-11049-113,L,건창기업
313,A25-214,Palm Beach Ash,14-11049-113,J,건창기업(유사 TK)
314,A3-147,Palm Beach Ash,14-11049-113,UK,목림
315,A24-395,Plam Beach ash ,14-11049-114,QT,"목림,승은산업, 제이제이데코"
316,A25-215,Palm Beach Ash ,14-11049-114,J,건창기업(유사 TK)
317,HF2-13,Palm Beach Ash ,14-11049-114,NM,메라톤
318,B45-446,Palm Beach Ash,14-11049-114,L,건창기업
319,A3-76,Palm Beach Ash ,14-11049-114,UK,목림
320,HF2-23,Palm Beach Ash,14-11049-114(중복),NM,메라톤
321,B43-12,Palm Beach Ash,14-11049-115,목림246,목림
322,B24-162,Palm Beach Ash ,14-11049-115,QT,"목림,승은산업, 제이제이데코"
323,B38-163,Palm Beach Ash,14-11049-115,PNS,목림(피앤데코 경면) / 엇결
324,B45-447,Palm Beach Ash,14-11049-115,L,건창기업
325,A3-75,Palm Beach Ash ,14-11049-115,UK,목림
326,A25-216,Palm Beach Ash ,14-11049-115,J,건창기업(유사 TK)
327,B59-550,Palm Beach Ash,14-11049-115,LV,건창기업
328,A3-418,Palm Beach Ash ,14-11049-118,UK,목림
329,A25-217,Palm Beach Ash ,14-11049-118,J,건창기업(유사 TK)
330,A39-481,Palm Beach Ash ,14-11049-120,TK,목림(유사 J)
331,A3-367,Palm Beach Ash ,14-11049-120,UK,목림
332,B45-450,Palm Beach Ash,14-11049-120,L,건창기업
333,A24-394,Plam Beach ash ,14-11049-120,QT,"목림,승은산업, 제이제이데코"
334,A25-218,Palm Beach Ash ,14-11049-120,J,건창기업(유사 TK)
335,B45-449,Palm Beach Ash,14-11049-122,L,건창기업
336,A25-219,Palm Beach Ash ,14-11049-122,J,건창기업(유사 TK)
337,A24-766,Palm Beach Ash,14-11049-122,QT,"목림,승은산업, 제이제이데코"
338,A3-379,Palm Beach Ash ,14-11049-122,UK,목림
339,HF1-2,Palm Beach Ash ,14-11049-122,민자 (소프트엠보),메라톤
340,HF1-1,Palm Beach Ash ,14-11049-124,민자 (소프트엠보),메라톤
341,B45-384,Palm Beach Ash,14-11049-124,L,건창기업
342,B3-743,Palm Beach Ash,14-11049-124,UK,
343,B3-742,Palm Beach Ash,14-11049-136,UK,
344,HF3-8,Palm Beach Ash,14-11049-136,HR,메라톤
345,B54-405,Palm Beach Ash,14-11049-136,ST,승은산업
346,B45-191,Palm Beach Ash,14-11049-136,L,건창기업
347,B3-897,Palm Beach Ash CN,14-11049-137,UK,
348,B3-898,Palm Beach Ash CN,14-11049-138,UK,
349,HF6-50,Palm Beach Ash,14-11049-139,WB,제이에스폴리텍
350,B3-899,Palm Beach Ash,14-11049-139,UK,
351,HF3-55,Palm Beach Ash,14-11049-141,HR,
352,HF1-10,Palm Beach Ash,14-11049-조색4,민자 (소프트엠보),메라톤
353,A3-613,Borodino Ash,14-11057-001,UK,목림
354,A25-224,Borodino Ash,14-11057-002,J,건창기업(유사 TK)
355,B45-622,Borodino Ash,14-11057-002,L,
356,C45-38,Alassio Ash,14-11072-003,L,
357,A3-859,Almeria Ash,14-11089-001,UK,목림
358,A24-853,Almeria Ash,14-11089-001,QT,"목림,승은산업, 제이제이데코"
359,A3-195,Almeria Ash,14-11089-109,UK,목림
360,A24-255,Almeria Ash,14-11089-109,QT,"목림,승은산업, 제이제이데코"
361,B43-13,Almeria Ash,14-11089-109,목림246,목림
362,A4-653,Almeria Ash,14-11089-117,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
363,B3-822,Almeria Ash,14-11089-117,UK,
364,A3-426,Almeria Ash,14-11089-122,UK,목림
365,B43-15,Almeria Ash,14-11089-122,목림246,목림
366,B45-674,Almeria Ash,14-11089-128,L,
367,A3-737,Almeria Ash,14-11089-128,UK,목림
368,B45-673,Almeria Ash,14-11089-130,L,
369,B45-515,Almeria Ash,14-11089-132,L,
370,B3-83,Almeria Ash,14-11089-132,UK,목림
371,A3-925,Almeria Ash,14-11089-133,UK,목림
372,B45-513,Almeria Ash,14-11089-133,L,
373,B3-313,Almeria Ash,14-11089-134,UK,목림
374,A3-304,Bornholm Ash,14-11096-001,UK,목림
375,B3-745,Bornholm Ash,14-11096-104,UK,
376,C45-130,Bornholm Ash,14-11096-104,L,
377,A3-815,Almeria Ash,14-11389-129,UK,목림
378,A3-816,Almeria Ash,14-11389-130,UK,목림
379,A3-515,Bornholm Esche,14-11397-100,UK,목림
380,B45-866,Bornholm Esche,14-11397-100,L,
381,A3-516,Moldau Acacia,14-12004-002,UK,목림
382,A39-731,Moldau Acacia,14-12004-003,TK,목림(유사 J)
383,A3-730,Moldau Acacia,14-12004-003,UK,목림
384,A4-648,Moldau Acacia,14-12004-004,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
385,B3-210,Moldau Acacia,14-12004-004,UK,목림
386,B25-623,Moldau Acacia,14-12004-180,J,
387,A3-517,Moldau Acacia,14-12004-180,UK,목림
388,A3-69,Moldau Acacia,14-12004-186,UK,목림
389,A3-518,Moldau Acacia,14-12004-205,UK,목림
390,A3-858,Moldau Acacia,14-12004-245,UK,목림
391,B3-312,Gran Sasso Chestnut,14-12025-104,UK,목림
392,B59-555,Gran Sasso Chestnut,14-12025-104,LV,건창기업
393,B45-867,Gran Sasso Chestnut,14-12025-104,L,
394,B45-621,Armagnac Ruster,14-12029-122,L,
395,A3-846,Armagnac Ruster,14-12029-122,UK,목림
396,A25-295,Armagnac Elm ,14-12029-134,J,건창기업(유사 TK)
397,A3-68,Armagnac Elm ,14-12029-134,UK,목림
398,B3-865,Taormina Elm,14-12037-001,UK,
399,A13-128,Taormina Elm,14-12037-003,IT,목림
400,B3-161,Taormina Elm,14-12037-003,UK,목림
401,A3-62,Olmo Fidia,14-12052-101,UK,목림
402,A3-77,Olmo Fidia Excl.,14-12052-117,UK,목림
403,C45-89,Olmo Fidia Excl.,14-12052-117,L,
404,A25-220,Olmo Fidia Excl.,14-12052-117,J,건창기업(유사 TK)
405,A3-396,Tribeca,14-12057-103,UK,목림
406,A3-153,Tribeca Elm,14-12057-110,UK,목림
407,A7-935,Tribeca,14-12057-114,민자,"목림,승은산업,건창기업,제이제이 데코 등"
408,HF2-22,Tribeca,14-12057-114,NM,메라톤
409,B43-16,Tribeca,14-12057-114,목림246,목림
410,A3-154,Tribeca,14-12057-114(동원광주현장은128확인必),UK,목림
411,A3-275,Saratoga Hickory,14-12059-003,UK,목림
412,A25-223,Saratoga Hickory,14-12059-003,J,건창기업(유사 TK)
413,A3-196,Kitami Elm,14-12073-002,UK,목림
414,A24-261,Morava Acacia,14-12080-002,QT,"목림,승은산업, 제이제이데코"
415,A3-247,Jackson Hickory,14-12081-001,UK,목림
416,A3-246,Ventura Chestnut,14-12089-001,UK,목림
417,B3-123,California Elm,14-12095-001,UK,목림
418,B3-124,California Elm,14-12095-003,UK,목림
419,B3-125,California Elm,14-12095-004,UK,목림
420,A3-380,Canyon Malibu Chestnut,14-12101-003,UK,목림
421,HF4-43,Canyon Malibu Chestnut,14-12101-003,BF,
422,B45-196,Canyon Malibu Chestnut,14-12101-003,L,건창기업
423,HF2-31,Canyon Padua Chestnut,14-12119-001,NM,메라톤
424,C45-108,Castagno Arona,14-12192-001,L,
425,A3-366,Catalonia Ruster Excl.,14-12302-106,UK,목림
426,B45-505,Catalonia Ruster Excl.,14-12302-106,L,
427,A39-594,Catalonia Ruster Excl.,14-12302-106,TK,목림(유사 J)
428,B45-506,Catalonia Ruster Excl.,14-12302-107,L,
429,B3-434,Catalonia Ruster Excl.,14-12302-107,UK,
430,HF3-33,Morava Acacia,14-12319-002,HR,메라톤
431,B45-512,Morava Acacia,14-12319-002,L,
432,B11-82,Castagno Carducci,14-12332-101,PM,"목림, 건창기업"
433,A4-650,Castagno Carducci,14-12332-101,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
434,A3-154(★동원광주),Tribeca,14-12357-128,UK,목림
435,A3-365,Saratoga Hickory ,14-12359-102,UK,목림
436,A3-519,Jackson Hickory,14-12382-100,UK,목림
437,A3-520,Inntal Buche,14-14002-186,UK,목림
438,A3-521,Mangfall Buche,14-14013-002,UK,목림
